[2025-10-20T15:39:03.446+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-20T15:39:03.507+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T15:37:00+00:00 [queued]>
[2025-10-20T15:39:03.526+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T15:37:00+00:00 [queued]>
[2025-10-20T15:39:03.536+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-20T15:39:03.568+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-20 15:37:00+00:00
[2025-10-20T15:39:03.591+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-20T15:37:00+00:00', '--job-id', '63', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp0e_rdq4a']
[2025-10-20T15:39:03.597+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=74166) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-20T15:39:03.598+0000] {standard_task_runner.py:91} INFO - Job 63: Subtask download_minio
[2025-10-20T15:39:03.599+0000] {standard_task_runner.py:64} INFO - Started process 74183 to run task
[2025-10-20T15:39:03.736+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T15:37:00+00:00 [running]> on host 2afad6b2767c
[2025-10-20T15:39:03.886+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-20T15:37:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-20T15:37:00+00:00'
[2025-10-20T15:39:03.888+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-20T15:39:04.447+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967513.json -> /tmp/minio_downloads/1760967513.json
[2025-10-20T15:39:04.459+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967524.json -> /tmp/minio_downloads/1760967524.json
[2025-10-20T15:39:04.470+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967536.json -> /tmp/minio_downloads/1760967536.json
[2025-10-20T15:39:04.483+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967547.json -> /tmp/minio_downloads/1760967547.json
[2025-10-20T15:39:04.496+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967559.json -> /tmp/minio_downloads/1760967559.json
[2025-10-20T15:39:04.507+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967570.json -> /tmp/minio_downloads/1760967570.json
[2025-10-20T15:39:04.519+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967581.json -> /tmp/minio_downloads/1760967581.json
[2025-10-20T15:39:04.530+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967593.json -> /tmp/minio_downloads/1760967593.json
[2025-10-20T15:39:04.543+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967604.json -> /tmp/minio_downloads/1760967604.json
[2025-10-20T15:39:04.554+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967616.json -> /tmp/minio_downloads/1760967616.json
[2025-10-20T15:39:04.565+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967627.json -> /tmp/minio_downloads/1760967627.json
[2025-10-20T15:39:04.575+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967639.json -> /tmp/minio_downloads/1760967639.json
[2025-10-20T15:39:04.587+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967650.json -> /tmp/minio_downloads/1760967650.json
[2025-10-20T15:39:04.599+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967662.json -> /tmp/minio_downloads/1760967662.json
[2025-10-20T15:39:04.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967674.json -> /tmp/minio_downloads/1760967674.json
[2025-10-20T15:39:04.623+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967685.json -> /tmp/minio_downloads/1760967685.json
[2025-10-20T15:39:04.635+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967697.json -> /tmp/minio_downloads/1760967697.json
[2025-10-20T15:39:04.646+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967709.json -> /tmp/minio_downloads/1760967709.json
[2025-10-20T15:39:04.658+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967720.json -> /tmp/minio_downloads/1760967720.json
[2025-10-20T15:39:04.668+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967731.json -> /tmp/minio_downloads/1760967731.json
[2025-10-20T15:39:04.679+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967743.json -> /tmp/minio_downloads/1760967743.json
[2025-10-20T15:39:04.691+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967754.json -> /tmp/minio_downloads/1760967754.json
[2025-10-20T15:39:04.703+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967766.json -> /tmp/minio_downloads/1760967766.json
[2025-10-20T15:39:04.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967778.json -> /tmp/minio_downloads/1760967778.json
[2025-10-20T15:39:04.726+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967789.json -> /tmp/minio_downloads/1760967789.json
[2025-10-20T15:39:04.737+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967801.json -> /tmp/minio_downloads/1760967801.json
[2025-10-20T15:39:04.751+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967813.json -> /tmp/minio_downloads/1760967813.json
[2025-10-20T15:39:04.765+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967826.json -> /tmp/minio_downloads/1760967826.json
[2025-10-20T15:39:04.779+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1760967837.json -> /tmp/minio_downloads/1760967837.json
