[2025-10-20T14:27:42.610+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-20T14:27:42.668+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T14:26:00+00:00 [queued]>
[2025-10-20T14:27:42.682+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T14:26:00+00:00 [queued]>
[2025-10-20T14:27:42.701+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-20T14:27:42.722+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-10-20 14:26:00+00:00
[2025-10-20T14:27:42.734+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-10-20T14:26:00+00:00', '--job-id', '31', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpr4d8qkag']
[2025-10-20T14:27:42.739+0000] {standard_task_runner.py:91} INFO - Job 31: Subtask download_minio
[2025-10-20T14:27:42.740+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=24451) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-20T14:27:42.741+0000] {standard_task_runner.py:64} INFO - Started process 24465 to run task
[2025-10-20T14:27:42.846+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-10-20T14:26:00+00:00 [running]> on host 2afad6b2767c
[2025-10-20T14:27:42.998+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-10-20T14:26:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-10-20T14:26:00+00:00'
